"Компания","Город","Домов","Адрес","Телефон","Наименование","Руководитель","Юридический адрес","Диспетчерская служба","Телефоны","Дома в управлении","ИНН","ОГРН","E-mail"
"УК «Наш дом»","Кемерово","65","ул. Предзаводская, д. 1В","+7 (3842) 57-06-51","Управляющая компания «Наш дом»","Шульц Ольга Евгеньевна","Кемеровская обл, г. Кемерово, ул. Предзаводская, д. 1В","+7 (3842) 57-06-51","+7 (3842) 57-06-51","65","4205177687","1094205008292","shulz-42@mail.ru"
"УК «Молодежный»","Кемерово","60","пр-кт. Молодежный, д. 2А","+7 (3842) 31-21-12","Управляющая компания «Молодежный»","Байдулкина Галина Анатольевна","Кемеровская обл, г. Кемерово, пр-кт. Молодежный, д. 2А","+7 (3842) 31-21-12","+7 (3842) 31-21-12","60","4205025010","1034205004151","Molodezhnyiy@yandex.ru"
"УК «Евродом»","Кемерово","59","ул. Авроры, д. 14","+7 (3842) 45-22-01","Управляющая компания «Евродом»","Беликова Анастасия Галиевна","Кемеровская обл, г. Кемерово, ул. Авроры, д. 14","+7 (3842) 90-05-91","+7 (3842) 45-22-01","59","4223057760","1124223002177","priemnay@zhs.hcsds.ru"
"УК «Ко»","Кемерово","56","пр-кт. Шахтеров, д. 113","8 (3842) 77-59-97","Управляющая компания «Ко»","Родыгина Людмила Леонидовна","Кемеровская обл, г. Кемерово, пр-кт. Шахтеров, д. 113","+7 (3842) 67-20-21","8 (3842) 77-59-97","56","4205305554","1154205004690","ukkmr@inbox.ru"
"УК «Спектр услуг»","Кемерово","52","пр-кт. Ленина, д. 122А","8 (3842) 90-10-39","Управляющая компания «Спектр услуг»","Фанта Розалия Финогеновна","Кемеровская обл, г. Кемерово, пр-кт. Ленина, д. 122А","+7 (3842) 90-10-39","8 (3842) 90-10-39","52","4205300605","1144205030969","uk-sprectr@mail.ru"
"УК «Кемерово-сити»","Кемерово","51","пр-кт. Притомский, д. 7А","+7 (3842) 90-08-71","Управляющая компания «Кемерово-сити»","Манин Павел Александрович","Кемеровская обл, г. Кемерово, пр-кт. Притомский, д. 7А","+7 (3842) 90-08-19","+7 (3842) 90-08-71","51","4205124325","1074205004103","office@kem-city.ru"
"УК «Ленинградский»","Кемерово","48","б-р. Строителей, д. 46/1","+7 (3842) 73-38-15","Управляющая компания «Ленинградский»","Дюмина Людмила Моисеевна","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 46/1","+7 (3842) 65-02-75","+7 (3842) 73-38-15","48","4205186963","1094205019380","info@uk-kemerovo.ru"
"УК «Кузнецкий»","Кемерово","45","ул. Юрия Смирнова, д. 27","+7 (3842) 45-27-85","Управляющая компания «Кузнецкий»","Никифорова Нажежда Степановна","Кемеровская обл, г. Кемерово, ул. Юрия Смирнова, д. 27","+7 (3842) 45-27-85","+7 (3842) 45-27-85","45","4205362707","1174205028800","uk.kuznetsky@mail.ru"
"УК «Кемрэк»","Кемерово","40","пр-кт. Ленина, д. 58","8 (3842) 65-71-61","Управляющая компания «Кемрэк»","Кареев Игорь Александрович","Кемеровская обл, г. Кемерово, пр-кт. Ленина, д. 58","+7 (3842) 65-71-61","8 (3842) 65-71-61","40","4205332195","1164205072085","kem-rek@mail.ru"
"УК «Правый берег»","Кемерово","40","пр-кт. Шахтеров, д. 75","8 (3842) 90-05-34","Управляющая компания «Правый берег»","Малюков Александр Витальевич","Кемеровская обл, г. Кемерово, пр-кт. Шахтеров, д. 75","+7 (3842) 90-05-34","8 (3842) 90-05-34","40","4205303211","1154205002313","ukpb59a@mail.ru"
"УК «Шалго»","Кемерово","37","пр-кт. Октябрьский, д. 78Б","8 (3842) 78-09-77","Управляющая компания «Шалго»","Шелковников Илья Юрьевич","Кемеровская обл, г. Кемерово, пр-кт. Октябрьский, д. 78Б","+7 (3842) 78-09-77","8 (3842) 78-09-77","37","4205382823","1194205016169","oooshalgo@yandex.ru"
"УК «Кедровый»","Кемерово","35","б-р. Осенний, д. 3","+7 (3842) 45-27-20","Управляющая компания «Кедровый»","Батюченко Олег Олегович","Кемеровская обл, г. Кемерово, б-р. Осенний, д. 3","+7 (3842) 45-27-20","+7 (3842) 45-27-20","35","4205315496","1154205014457","lesnaya_polyana@list.ru"
"УК «Пенатэс»","Кемерово","33","пр-кт. Советский, д. 27","8 (3842) 78-03-85","Управляющая компания «Пенатэс»","Коробченко Дмитрий Анатольевич","Кемеровская обл, г. Кемерово, пр-кт. Советский, д. 27","+7 (3842) 36-66-83","8 (3842) 78-03-85","33","4205389201","1204200006493","penates42@yandex.ru"
"УК «Рассвет»","Кемерово","33","б-р. Пионерский, д. 12","8 (3842) 52-10-04","Управляющая компания «Рассвет»","Попов Михаил Юрьевич","Кемеровская обл, г. Кемерово, б-р. Пионерский, д. 12","+7 (3842) 52-10-04","8 (3842) 52-10-04","33","4205388938","1204200005910","ra5svet2020@yandex.ru"
"УК «Скк»","Кемерово","32","ул. Тухачевского, д. 2","8 (3842) 78-05-25","Управляющая компания «Скк»","Демин Павел Тимофеевич","Кемеровская обл, г. Кемерово, ул. Тухачевского, д. 2","+7 (3842) 78-05-25","8 (3842) 78-05-25","32","4205038490","1024200686146","ooo_ckk@mail.ru"
"УК «Верхний бульвар»","Кемерово","29","ул. Терешковой, д. 16б","8 (3842) 65-74-95","Управляющая компания «Верхний бульвар»","Науменко Виталий Викторович","Кемеровская обл, г. Кемерово, ул. Терешковой, д. 16б","+7 (3842) 66-01-00","8 (3842) 65-74-95","29","4205329499","1164205066387","uk-vb@mail.ru"
"УК «Грант»","Кемерово","29","ул. Свободы, д. 15","+7 (951) 604-08-48","Управляющая компания «Грант»","Матюхин Константин Львович","Кемеровская обл, г. Кемерово, ул. Свободы, д. 15","+7 (3842) 37-71-14","+7 (951) 604-08-48","29","4205092049","1054205212918","garantkemgkh@yandex.ru"
"УК «Лесная поляна»","Кемерово","29","б-р. Осенний, д. 3","+7 (3842) 45-27-20","Управляющая компания «Лесная поляна»","Батюченко Олег Олегович","Кемеровская обл, г. Кемерово, б-р. Осенний, д. 3","+7 (3842) 45-27-20","+7 (3842) 45-27-20","29","4250004573","1074250001891","uk_lesnaya@mail.ru"
"УК «Регион 42»","Кемерово","28","пр-кт. Комсомольский, д. 11А","+7 (3842) 34-66-71","Управляющая компания «Регион 42»","Николаенко Елена Юрьевна","Кемеровская обл, г. Кемерово, пр-кт. Комсомольский, д. 11А","+7 (3842) 46-33-33","+7 (3842) 34-66-71","28","4205269779","1134205015130","kemerovo_gkh@mail.ru"
"УК «Каравелла»","Кемерово","27","пер. Щегловский, д. 12","+7 (923) 614-37-57","Управляющая компания «Каравелла»","Кузьменко Сергей Александрович","Кемеровская обл, г. Кемерово, пер. Щегловский, д. 12","+7 (923) 614-37-57","+7 (923) 614-37-57","27","4205255590","1124205020807","karavellaooo@mail.ru"
"УК «Народная»","Кемерово","26","ул. Тульская, д. 28","","Управляющая компания «Народная»","Кузнецов Максим Алексеевич","Кемеровская обл, г. Кемерово, ул. Тульская, д. 28","+7 (923) 503-76-53, +7 (3842) 67-47-03","","26","4205402854","1224200000881","uknarodnoe2000@mail.ru"
"УК «Теплый дом»","Кемерово","25","пр-кт. Ленинградский, д. 15а","8 (3842) 45-23-97","Управляющая компания «Теплый дом»","Дмитриев Сергей Михайлович","Кемеровская обл, г. Кемерово, пр-кт. Ленинградский, д. 15а","+7 (3842) 78-08-12","8 (3842) 45-23-97","25","4205361196","1174205025378","tepluidom42@mail.ru"
"УК «Константа»","Кемерово","24","ул. Новогодняя, д. 16","8 (950) 580-51-75","Управляющая компания «Константа»","Симонова Олеся Петровна","Кемеровская обл, г. Кемерово, ул. Новогодняя, д. 16","+7 (3842) 90-14-40","8 (950) 580-51-75","24","4205331699","1164205071172","uk.konstanta@mail.ru"
"УК «ЖСК Восточный»","Кемерово","21","пр-кт. Комсомольский, д. 46, -1 этаж, пом. 1","+7 (3842) 90-12-56","Управляющая компания «ЖСК Восточный»","Корниленко Ольга Александровна","Кемеровская обл, г. Кемерово, пр-кт. Комсомольский, д. 46, -1 этаж, пом. 1","+7 (3842) 90-12-56","+7 (3842) 90-12-56","21","4205317013","1154205015910","ukmg1@bk.ru"
"УК «Русь»","Кемерово","20","б-р. Пионерский, д. 14","8 (3842) 57-55-51","Управляющая компания «Русь»","Бутько Ирина Валерьевна","Кемеровская обл, г. Кемерово, б-р. Пионерский, д. 14","+7 (3842) 57-55-51","8 (3842) 57-55-51","20","4205374420","1184205021648","ukrussy@yandex.ru"
"УК «Красная горка»","Кемерово","19","пр-кт. Шахтеров, д. 62Б","+7 (3842) 45-24-83","Управляющая компания «Красная горка»","Никифорова Надежда Степановна","Кемеровская обл, г. Кемерово, пр-кт. Шахтеров, д. 62Б","+7 (923) 483-79-33","+7 (3842) 45-24-83","19","4205256829","1124205022072","moi.gor58@mail.ru"
"УК «Жкх №1»","Кемерово","17","пр-кт. Ленина, д. 146/1","+7 (3842) 37-48-24","Управляющая компания «Жкх №1»","Гулый Роман Сергеевич","Кемеровская обл, г. Кемерово, пр-кт. Ленина, д. 146/1","+7 (3842) 37-48-24","+7 (3842) 37-48-24","17","4205020140","1034205018165","sistema-rg@mail.ru"
"УК «Жилищник»","Кемерово","15","ул. Волгоградская, д. 45а","+7 (3842) 31-00-98","Управляющая компания «Жилищник»","Малиновский Павел Вячеславович","Кемеровская обл, г. Кемерово, ул. Волгоградская, д. 45а","+7 (3842) 31-01-52","+7 (3842) 31-00-98","15","4205214593","1114205000733","dem@kem-uk.ru"
"УК «Квартиры Кемерова»","Кемерово","14","ул. Юрия Двужильного, д. 26","+7 (3842) 38-88-80","Управляющая компания «Квартиры Кемерова»","Бекетова Елена Валерьевна","Кемеровская обл, г. Кемерово, ул. Юрия Двужильного, д. 26","+7 (3842) 38-88-80","+7 (3842) 38-88-80","14","4205116490","1064205124279","kv_kemerovo@mail.ru"
"УК «Квалитет»","Кемерово","13","ул. Терешковой, строение 22а","8 (3842) 77-36-37","Управляющая компания «Квалитет»","Возняк Михаил Михаил","Кемеровская обл, г. Кемерово, ул. Терешковой, строение 22а","+7 (3842) 76-92-03","8 (3842) 77-36-37","13","4205358281","1174205018800","ukkp42@bk.ru"
"УК «Артсервис»","Кемерово","12","ул. Космическая, д. 24А","+7 (3842) 65-78-15","Управляющая компания «Артсервис»","Плужников Андрей Иванович","Кемеровская обл, г. Кемерово, ул. Космическая, д. 24А","+7 (923) 609-95-99","+7 (3842) 65-78-15","12","4205162761","1084205015718","artgaraz@mail.ru"
"УК «Высота»","Кемерово","12","б-р. Строителей, д. 46/1","8 (3842) 33-33-40","Управляющая компания «Высота»","Дюмина Людмила Моисеевна","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 46/1","+7 (3842) 65-02-75","8 (3842) 33-33-40","12","4205361728","1174205026841","info@uk-kemerovo.ru"
"УК «Сибирская»","Кемерово","12","пр-кт. Комсомольский, д. 11А","+7 (3842) 34-66-71","Управляющая компания «Сибирская»","Николаенко Елена Юрьевна","Кемеровская обл, г. Кемерово, пр-кт. Комсомольский, д. 11А","+7 (384) 257-49-66","+7 (3842) 34-66-71","12","4205176323","1094205006521","1yk@mail.ru"
"УК «Стандарт»","Кемерово","12","пр-кт. Ленина, д. 146/1","8 (3842) 37-48-24","Управляющая компания «Стандарт»","Гулый Роман Сергеевич","Кемеровская обл, г. Кемерово, пр-кт. Ленина, д. 146/1","+7 (3842) 37-48-24","8 (3842) 37-48-24","12","4205297825","1144205018132","gkh1@list.ru"
"УК «Флагман»","Кемерово","12","пр-кт. Ленинградский, д. 22","+7 (3842) 31-00-22","Управляющая компания «Флагман»","Мельман Михаил Григорьевич","Кемеровская обл, г. Кемерово, пр-кт. Ленинградский, д. 22","+7 (3842) 67-29-11","+7 (3842) 31-00-22","12","4205256709","1124205021973","flagman42@mail.ru"
"УК «Жилстройсервис фпк»","Кемерово","11","пр-кт. Комсомольский, д. 11А","+7 (3842) 34-66-71","Управляющая компания «Жилстройсервис фпк»","Николаенко Елена Юрьевна","Кемеровская обл, г. Кемерово, пр-кт. Комсомольский, д. 11А","+7 (3842) 46-33-33","+7 (3842) 34-66-71","11","4205151946","1084205005246","gstroyservis@mail.ru"
"УК «Мкд»","Кемерово","11","пр-кт. Комсомольский, д. 53","8 (3842) 74-39-64","Управляющая компания «Мкд»","Шелковников Илья Юрьевич","Кемеровская обл, г. Кемерово, пр-кт. Комсомольский, д. 53","+7 (3842) 78-04-84","8 (3842) 74-39-64","11","4205363210","1174205029900","ukmkd@list.ru"
"УК «Домо-сервис-2»","Кемерово","10","ул. Притомская Набережная, д. 19","+7 (3842) 34-57-61","Управляющая компания «Домо-сервис-2»","Шобик Станислав Борисович","Кемеровская обл, г. Кемерово, ул. Притомская Набережная, д. 19","+7 (3842) 34-68-36","+7 (3842) 34-57-61","10","4205089913","1054205184769","d-s2@mail.ru"
"УК «Комфортная среда»","Кемерово","10","ул. Дружбы, д. 31А","8 (3842) 90-19-71","Управляющая компания «Комфортная среда»","Чудинов Игорь Валентинович","Кемеровская обл, г. Кемерово, ул. Дружбы, д. 31А","+7 (3842) 67-00-57","8 (3842) 90-19-71","10","4205308587","1154205007681","comfortsreda@gmail.com"
"УК «Ленинский»","Кемерово","10","б-р. Строителей, д. 23","8 (961) 721-17-60","Управляющая компания «Ленинский»","","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 23","","8 (961) 721-17-60","10","4230034322","1214200008989","lozovik2013@mail.ru"
"УК «Сибирские просторы»","Кемерово","9","пр-кт. Притомский, д. 7А","8 (3842) 90-08-71","Управляющая компания «Сибирские просторы»","Манин Павел Александрович","Кемеровская обл, г. Кемерово, пр-кт. Притомский, д. 7А","+7 (3842) 90-08-19","8 (3842) 90-08-71","9","4205237079","1124205001337","office@kem-city.ru"
"УК «Докор»","Кемерово","8","б-р. Строителей, д. 53А","8 (3842) 65-02-53","Управляющая компания «Докор»","Арестов Евгений Александрович","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 53А","+7 (3842) 49-02-72","8 (3842) 65-02-53","8","4205089906","1054205184758","ooodokor@yandex.ru"
"УК «ДомСервис»","Кемерово","8","пр-кт. Московский, д. 18, корп. 6, Отдельный вход","8 (3842) 90-03-06","Управляющая компания «ДомСервис»","Шобик С.Б.","Кемеровская обл, г. Кемерово, пр-кт. Московский, д. 18, корп. 6, Отдельный вход","+7 (905) 918-07-93","8 (3842) 90-03-06","8","4205264837","1134205008948","d-s2@mail.ru"
"УК «Жилград»","Кемерово","8","пр-кт. Октябрьский, д. 59","+7 (3842) 77-21-41","Управляющая компания «Жилград»","Колмыков Андрей Петрович","Кемеровская обл, г. Кемерово, пр-кт. Октябрьский, д. 59","+7 (950) 599-41-20","+7 (3842) 77-21-41","8","4205062076","1044205007978","zhilservisplyus2@mail.ru"
"УК «Жилдом»","Кемерово","8","ул. Волгоградская, д. 21","8 (904) 571-03-22","Управляющая компания «Жилдом»","Давыдова Ольга Владимировна","Кемеровская обл, г. Кемерово, ул. Волгоградская, д. 21","+7 (3842) 76-79-71","8 (904) 571-03-22","8","4205393663","1204200017328","gildom2020@yandex.ru"
"УК «Зелёный город»","Кемерово","8","ул. Космическая, д. 24","+7 (3842) 78-02-79","Управляющая компания «Зелёный город»","Давыденко Виктория Раисовна","Кемеровская обл, г. Кемерово, ул. Космическая, д. 24","+7 (3842) 78-04-98","+7 (3842) 78-02-79","8","4205384972","1194205021174","greencity42@mail.ru"
"УК «Лидер-энергия»","Кемерово","8","ул. Терешковой, д. 39/3","8 (38445) 586-66","Управляющая компания «Лидер-энергия»","Русецкий Владимир Викторович","Кемеровская обл, г. Кемерово, ул. Терешковой, д. 39/3","+7 (904) 965-79-79","8 (38445) 586-66","8","4205365095","1184205002145","uk-lider-energiya@mail.ru"
"УК «Рего»","Кемерово","8","ул. Юрия Двужильного, д. 22, помещение 20-21","8 (3842) 38-38-74","Управляющая компания «Рего»","Тараканов Евгений Владимирович","Кемеровская обл, г. Кемерово, ул. Юрия Двужильного, д. 22, помещение 20-21","+7 (3842) 38-38-70","8 (3842) 38-38-74","8","4205393977","1204200017911","yk-rego@mail.ru"
"УК «Родные Просторы»","Кемерово","8","пр-кт. Московский, д. 16","+7 (3842) 49-21-45","Управляющая компания «Родные Просторы»","Гулый Роман Сергеевич","Кемеровская обл, г. Кемерово, пр-кт. Московский, д. 16","+7 (3842) 49-21-45","+7 (3842) 49-21-45","8","4205287753","1144205007968","uk_rp@list.ru"
"УК «Аврелия»","Кемерово","6","пр-кт. Ленинградский, д. 3","8 (3842) 90-10-02","Управляющая компания «Аврелия»","Толобова Оксана Ивановна","Кемеровская обл, г. Кемерово, пр-кт. Ленинградский, д. 3","+7 (950) 578-29-71","8 (3842) 90-10-02","6","4205326561","1164205060348","comfort42rus@yandex.ru"
"УК «Город кемерово»","Кемерово","6","ул. Юрия Двужильного, д. 22","+7 (3842) 38-14-70","Управляющая компания «Город кемерово»","Опешко Сергей Иванович","Кемеровская обл, г. Кемерово, ул. Юрия Двужильного, д. 22","+7 (3842) 38-75-15","+7 (3842) 38-14-70","6","4205155718","1084205008711","yk-gorod@mail.ru"
"УК «Ю-сервис»","Кемерово","6","пр-кт. Притомский, д. 35, корп. 1, 139","8 (99339) 940-31","Управляющая компания «Ю-сервис»","Зворыгин Максим Александрович","Кемеровская обл, г. Кемерово, пр-кт. Притомский, д. 35, корп. 1, 139","+7 (3842) 22-03-15","8 (99339) 940-31","6","4205393430","1204200016888","uk-kemerovo@bk.ru"
"ТСН «5 звезд»","Кемерово","5","пр-кт. Химиков, д. 10Б","8 (3842) 54-73-34","Товарищество собственников недвижимости «5 звезд»","Атапина Анна Николаевна","Кемеровская обл, г. Кемерово, пр-кт. Химиков, д. 10Б","+7 (3842) 54-46-99","8 (3842) 54-73-34","5","4205210486","1104205018862","tsg5z@yandex.ru"
"УК «21 квартал»","Кемерово","5","ул. Ворошилова, д. 1А","8 (905) 965-08-08","Управляющая компания «21 квартал»","Миронова Анастасия Николаевна","Кемеровская обл, г. Кемерово, ул. Ворошилова, д. 1А","+7 (3842) 51-38-44","8 (905) 965-08-08","5","4205396061","1214200004534","QIARTER21@yandex.ru"
"УК «Алькор»","Кемерово","5","б-р. Строителей, д. 53А, пом.114","+7 (3842) 49-02-82","Управляющая компания «Алькор»","Арестов Евгений Александрович","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 53А, пом.114","+7 (904) 962-21-79","+7 (3842) 49-02-82","5","4205306484","1154205005613","ukalkor@yandex.ru"
"УК «Жилищно-коммунальный стандарт»","Кемерово","5","ул. Кирова, д. 55","+7 (3842) 55-79-69","Управляющая компания «Жилищно-коммунальный стандарт»","Каратаев Евгений Михайлович","Кемеровская обл, г. Кемерово, ул. Кирова, д. 55","+7 (3842) 55-79-69","+7 (3842) 55-79-69","5","4205402290","1214200018933","uk_zhks42@mail.ru"
"УК «Премьер»","Кемерово","5","пр-кт. Притомский, д. 25, корп. 2","+7 (3842) 65-04-99","Управляющая компания «Премьер»","Редозубов Дмитрий Александрович","Кемеровская обл, г. Кемерово, пр-кт. Притомский, д. 25, корп. 2","+7 (3842) 65-04-99","+7 (3842) 65-04-99","5","4205381241","1194205012693","uk-premier@list.ru"
"УК «Фонд ржс»","Кемерово","5","ул. Пролетарская, д. 29","8 (3842) 78-00-53","Управляющая компания «Фонд ржс»","Саидов Александр Викторович","Кемеровская обл, г. Кемерово, ул. Пролетарская, д. 29","+7 (3842) 78-00-10","8 (3842) 78-00-53","5","4205399922","1214200013312","mail@ukfond.ru"
"УК «Мир»","Кемерово","4","б-р. Осенний, д. 7","+7 (3842) 25-00-01","Управляющая компания «Мир»","Дубов Владимир Андреевич","Кемеровская обл, г. Кемерово, ул. Попова, д. 3","+7 (3842) 25-00-01","+7 (3842) 25-00-01","4","4205317817","1154205016723","mir.kemerovo@yandex.ru"
"УК «Скс»","Кемерово","4","б-р. Строителей, д. 32/1","+7 (3842) 33-00-77","Управляющая компания «Скс»","Иванов Сергей Васильевич","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 32/1","+7 (3842) 33-00-77","+7 (3842) 33-00-77","4","4205364535","1184205001034","info@ykckc.ru"
"УК «Азимут»","Кемерово","3","ул. Троицкая, д. 1А","+7 (3842) 57-10-86","Управляющая компания «Азимут»","Бабанов Дмитрий Сергеевич","Кемеровская обл, г. Кемерово, ул. Троицкая, д. 1А","+7 (3842) 77-38-51","+7 (3842) 57-10-86","3","4205266785","1134205011390","alternativa2105@mail.ru"
"УК «На красной»","Кемерово","3","ул. Тухачевского, д. 2","8 (3842) 78-05-25","Управляющая компания «На красной»","Дёмин Павел Тимофеевич","Кемеровская обл, г. Кемерово, пр-кт. Притомский, д. 11/1, кв. 69","+7 (3842) 78-05-25","8 (3842) 78-05-25","3","4205374188","1184205020999","ooo.Krasnaya@inbox.ru"
"ТСЖ «Аврора»","Кемерово","2","пр-кт. Шахтеров, д. 95","+7 (3842) 64-61-30","Товарищество собственников жилья «Аврора»","Лебедев Игорь Германович","Кемеровская обл, г. Кемерово, пр-кт. Шахтеров, д. 95","+7 (909) 521-58-18","+7 (3842) 64-61-30","2","4205096678","1054205258733","tsjkavrora@mail.ru"
"ТСЖ «На фпк»","Кемерово","2","ул. Тухачевского, д. 45","+7 (3842) 31-05-92","Товарищество собственников жилья «На фпк»","Денисенко Сергей Иванович","Кемеровская обл, г. Кемерово, ул. Тухачевского, д. 45","+7 (3842) 31-05-92","+7 (3842) 31-05-92","2","4205014160","1034205000983","TSG-FPK@yandex.ru"
"ТСН «На Бульваре»","Кемерово","2","б-р. Строителей, д. 32/3","8 (3842) 34-66-84","Товарищество собственников недвижимости «На Бульваре»","Мигда Оксана Николаевна","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 32/3","+7 (3842) 45-23-31","8 (3842) 34-66-84","2","4205221921","1114205021193","tsg.32.3@mail.ru"
"ТСН «Свободы»","Кемерово","2","ул. Свободы, д. 25А","+7 (908) 948-18-34","Товарищество собственников недвижимости «Свободы»","Протченко Юлия Сергеевна","Кемеровская обл, г. Кемерово, ул. Свободы, д. 25А","+7 (3842) 34-63-70","+7 (908) 948-18-34","2","4205097181","1054205266170","svobody.t@yandex.ru"
"ТСН «Серебряные ручьи»","Кемерово","2","б-р. Строителей, д. 28","+7 (3842) 37-27-49","Товарищество собственников недвижимости «Серебряные ручьи»","Кухарчук Александр Николаевич","Кемеровская обл, г. Кемерово, б-р. Строителей, д. 28","+7 (3842) 37-40-40","+7 (3842) 37-27-49","2","4205159889","1084205012792","tsg-sob@mail.ru"
"ТСН «Соседи»","Кемерово","2","пр-кт. Октябрьский, д. 36Г","+7 (903) 993-67-11","Товарищество собственников недвижимости «Соседи»","Гавриловец Надежда Борисовна","Кемеровская обл, г. Кемерово, пр-кт. Октябрьский, д. 36Г","+7 (3842) 35-56-95","+7 (903) 993-67-11","2","4205316330","1154205015249","nachgrip@mail.ru"
"УК «Альфа+»","Кемерово","2","ул. Мичурина, д. 58","+7 (3842) 90-08-25","Управляющая компания «Альфа+»","Шобик Станислав Борисович","Кемеровская обл, г. Кемерово, ул. Мичурина, д. 58","+7 (905) 079-60-20","+7 (384) 290-08-25","2","4205390503","1204200009628","d-s2@mail.ru"
